Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Size category,Capital city,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,percentage situations
Germany,Far-right pact protests,20-Feb,Free,"Cooperation between the state branches of far-right party Alternative for Germany (AfD) and the center-right Christian Democratic Union and left-leaning Free Democratic Party (FDP) to oust the state premier of Thuringia, Bodo Ramelow, and replace him with Thomas Kemmerich, a member of the FDP. The pact was a visible violation of mainstream political norms that opposed cooperating with far-right parties.",State-level mainstream parties’ cooperation with far-right parties.,18,"Unions, antifascist groups, young people.",1 week,"The manner of Ramelow’s dismissal prompted outrage that led to the resignation of the ruling Christian Democratic Union’s chair, Annegret Kramp-Karrenbauer, Chancellor Angela Merkel’s handpicked successor. Kemmerich eventually stepped down from his position as state premier, after which Ramelow reclaimed the post.",Tens of thousands,Berlin,0,0,X,0,0,0,0,0,0,"1800,00%"
Greece,Pension reform strike,20-Feb,Free,Twenty-four-hour strike in response to proposed pension reform.,"Citizens' fears of pension cuts, which could require them to retire later.",10,Public sector trade unions.,1 day,No policy/leadership change in response to the protests.,Thousands,Athens,0,0,X,0,0,0,0,0,0,"1000,00%"
Russia,Constitutional changes protests,20-Feb,Not free,"Constitutional changes that could allow President Vladimir Putin to stay in power past 2024, as well as the five-year anniversary of the death of an opposition leader.","Opposition to constitutional changes, falling popularity of Putin",22,General public.,1 month,No policy/leadership change in response to the protests.,Thousands,Moscow,0,0,X,0,0,0,X,X,0,"2200,00%"
Albania,Police violence protests,20-Dec,Partly free,The fatal shooting of Klodian Rasha by an officer enforcing a coronavirus curfew.,Concerns about excessive force being used by law enforcement to impose strict coronavirus measures.,>500,"General public, especially youth.",1 week,No policy/leadership change in response to protests.,Hundreds,Tirana,0,0,X,0,0,0,X,0,X,"50000,00%"
Haiti,“March for Life” protest,20-Dec,Partly free,Anniversary of International Human Rights Day and enactment of a new law on public security.,Concern over President Jovenel Moïse’s ongoing rule by decree; deepening economic and social insecurity; and concerns over perceived repression of antigovernment movements.,">1,000",Opponents of Moïse’s government.,1 day,No policy or leadership change in response to the protests.,Thousands,Port-au-Prince,0,X,X,0,0,0,0,0,0,"100,00%"
Montenegro,Religion law protests,20-Dec,Partly free,Government plans to rewrite a law in order to keep hundreds of Serbian Orthodox monasteries under church ownership rather than transferring them to the state.,Tensions between ethnic and religious groups in Montenegro; concerns over the relationship between the government and the Serbian Orthodox Church; and feelings of Montenegrin nationalism.,">1,000",General public.,1 month,No policy or leadership change in response to the protests.,Thousands,Podgorica,0,0,X,0,0,0,0,0,0,"100,00%"
Nepal,Parliament dissolution protests,20-Dec,Partly free,Prime Minister Khadga Prasad Sharma Oli’s move to dissolve parliament and call early elections.,Frustration over increasing partisanship; concerns over the constitutionality of the dissolution of parliament; and the breakdown of a power-sharing agreement between the prime minister and members of the ruling Nepal Communist Party.,">10,000",General public.,2 months,No policy or leadership change in response to the protests.,Tens of thousands,Kathmandu,0,0,X,0,0,0,0,0,0,"1000,00%"
Peru,Farm protests,20-Dec,Partly free,An Agrarian Promotion Law that gave exporting companies tax benefits but led to cuts in labor rights and low wages for farm workers.,Anger over the rights of big companies being prioritized over the rights of workers who were receiving salaries as low as 39 soles ($11) per day.,>300,Farm workers.,3 weeks,"Congress repealed the law, but protests resumed when Congress could not reach a consensus on the law’s replacement, specifically on a clause for higher base salaries for workers.",Hundreds,Lima,0,X,0,0,0,0,X,0,0,"30000,00%"
Argentina,Coronavirus lockdown and judicial reform protests,20-Aug,Free,Announcement of continued lockdown measures and introduction of judicial reform bill.,"Resistance to stringent COVID lockdown measures, economic strain, and fear of impunity for corrupt government officials.",">5,000",General public; supporters of the former Macri govenrment.,2 days,No policy/leadership change in response to the protests.,Thousands,Buenos Aires,0,0,X,X,X,X,0,0,0,"500,00%"
Ivory Coast,Third-term protests,20-Aug,Partly free,"Announcement that President Alassane Ouattara would seek a third term in office, despite a two-term limit.","Democratic backsliding, entrenchment of Ouattara’s Rally of Houphouëtists for Democracy and Peace (RHDP) party, and manipulation of the constitution for political gain.",">1,000",General public.,3 months,No policy or leadership change in response to the protests.,Thousands,Yamoussoukro,0,0,X,0,0,0,X,0,0,"100,00%"
Libya,Standard of living protests,20-Aug,Not free,"Extended cuts to power and water service, gasoline supply disruptions.","Ongoing rampant corruption, the failure of the state to meet even basic needs, and lack of infrastructure.",">1,000",General public,2 months,"Prime Minister Fayez al-Sarraj of the internationally recognized Government of National Accord announced a cabinet reshuffle and called for elections to be held in March 2021. In the east, the non-recognized government affiliated with Khalid Haftar resigned on September 14, 2020.",Hundreds of thousands,Tripoli,0,X,X,X,X,X,0,X,0,"100,00%"
Mauritius,Tanker spill protests,20-Aug,Free,"The spillage of over 1,000 tons of oil from the wreckage of the oil tanker MV Wakashio.","Anger at the government over insufficient information about the incident, and general frustration about the degradation of environmental resources in Mauritius.",">75,000","General public, particularly environmental activists.",2 months,No policy/leadership change in response to the protests.,Hundreds of thousands,Port Louis,0,X,X,0,0,X,X,X,0,"7500,00%"
Spain,Coronavirus lockdown protest,20-Aug,Free,"Introduction of social restrictions, including smoking bans and the closure of nightclubs, in repsonse to the COVID-19 pandemic.",Opposition to stringent social restrictions and increasingly widespread belief in COVID-related conspiracy theories.,">2,500",Supporters of the far-right Vox party.,1 day,No policy/leadership change in response to the protests.,Thousands,Madrid,0,0,X,0,0,0,X,0,0,"250,00%"
Turkey,Gender-based violence protest,20-Aug,Not free,"Reports that President Recep Tayyip Erdogan was considering withdrawing Turkey from the Istanbul Convention, which put forward principles to fight violence against women.",Anger over the government’s failure to address persistent violence against women.,">1,000",Women.,1 day,No policy/leadership change in response to protests.,Thousands,Ankara,0,0,X,0,0,0,0,0,0,"100,00%"
Argentina,Violence against women protests,20-Apr,Free,Increasing rates of violence and femicide against women during the government-mandated lockdown.,Violence against women and lack of resources/institutions to combat it.,">1,000",Women.,"1 month in 2020, 1 day in November 2022",The Supreme Court of Mendoza established several protocols for domestic violence victims to file complaints.,Thousands,Buenos Aires,0,0,X,0,X,0,0,0,0,"100,00%"
Canada,Coronavirus restrictions protests,20-Apr,Free,"Enactment of coronavirus restrictions, including mask mandates, vaccine mandates, and lockdowns.","Skepticism of coronavirus, vaccines, and concerns over the balance between public health restrictions and freedom.",">10,000",General public; truckers.,"2 years, intermittently.",No policy/leadership change in response to the protests.,Thousands,Ottawa,0,X,0,X,0,0,X,0,X,"1000,00%"
Germany,Coronavirus restriction protests,20-Apr,Free,Enactment of strict lockdown measures and vaccine mandates.,Economic damage brought on by restrictions and political contestation over the threat posed by the virus.,">30,000","Right- and left-wing extremists, conspiracy theorists, antivaccine groups.","16 months, intermittently",No policy/leadership change in response to the protests.,Tens of thousands,Berlin,0,X,X,0,0,0,0,X,X,"3000,00%"
India,Migrant worker protest,20-Apr,Partly free,Migrant workers’ demand to receive back wages and to be permitted to return home to local villages.,Extension of existing lockdown restrictions to combat coronavirus.,">1,000",Migrant workers.,1 day,No policy/leadership change in response to the protest.,Thousands,New Delhi,0,0,X,0,0,0,X,0,0,"100,00%"
Malawi,Vendor protest,20-Apr,Partly free,"Enactment of strict lockdown measures, including restrictions on social interaction and business operations.",Loss of revenue for small vendors dependent on in-person markets.,">1,000",Street vendors.,1 day,No policy/leadership change in response to the protests.,Thousands,Lilongwe,0,X,X,0,0,0,0,0,X,"100,00%"
Russia,Coronavirus restrictions protest,20-Apr,Not free,Economic implications of the shutdown and self-isolation measures established in response to the coronavirus pandemic.,"Concern over the economic effects of the shutdown, particularly in poorer areas that have lower infection rates.",2,"Opposition leaders, activists.",1 day,No policy/leadership change in response to the protest.,Thousands,Moscow,0,X,X,0,X,0,X,X,0,"200,00%"
Somalia,Police violence protests,20-Apr,Not free,The fatal shooting of two civilians by security forces enforcing coronavirus lockdown restrictions.,"Recurring police brutality, especially during the enforcement of coronavirus restrictions.",>500,General public.,1 week,The perpetrator was arrested and charged with murder.,Thousands,Mogadishu,0,X,X,X,0,0,0,0,0,"50000,00%"
